Date,Time of Day,Channel,Revenue,Average Order Size,Conversions,Customer Type,Sales Rep,Business
2023-09-08,Night,Email,64.86,23.26,0,Returning,Daniel Lee,Glow & Go Studio
2023-07-30,Morning,Google Ads,137.05,35.65,6,New,Steven Medina,Glow & Go Studio
2023-01-04,Evening,Walk-in,365.1,174.65,5,New,Annette Lewis,Glow & Go Studio
2023-01-04,Afternoon,Referral,316,73.27,5,Returning,Michelle Richardson,Glow & Go Studio
2023-09-23,Afternoon,Google Ads,157.12,88.95,2,New,Jessica Rosario,Glow & Go Studio
2023-05-13,Night,Walk-in,287.2,244.46,3,New,Henry Gray,Glow & Go Studio
2023-12-10,Night,Instagram,276.74,67.34,8,New,Darren Rodriguez,Glow & Go Studio
2023-03-27,Night,Instagram,458.14,108.47,42,Returning,Mrs. Ashley Taylor,Glow & Go Studio
2023-06-22,Evening,Email,360.54,75.29,3,Returning,Michele Hawkins,Glow & Go Studio
2023-10-20,Night,Walk-in,41.44,18.71,0,New,Garrett Wilson,Glow & Go Studio
2023-05-21,Night,Referral,226.85,129.32,3,New,Kyle Collins,Glow & Go Studio
2023-02-03,Evening,Walk-in,61.06,47.48,0,Returning,Jill Spencer,Glow & Go Studio
2023-06-19,Night,Facebook,63.07,50.29,1,Returning,Scott Lopez,Glow & Go Studio
2023-05-14,Night,Email,337.12,118.7,4,Returning,Ryan Alvarez,Glow & Go Studio
2023-08-31,Evening,Google Ads,358.55,84.21,4,New,Cassie Lutz,Glow & Go Studio
2023-08-24,Evening,Facebook,201.89,44.6,2,Returning,Brian Kim DDS,Glow & Go Studio
2023-12-16,Afternoon,Referral,34.26,22.15,0,Returning,Charles Morales,Glow & Go Studio
2023-02-27,Evening,Email,383.17,84.58,12,New,Ashley Schaefer,Glow & Go Studio
2023-01-28,Afternoon,Walk-in,157.3,33.9,5,Returning,Amy Hester,Glow & Go Studio
2023-06-27,Night,Facebook,61.02,13.99,2,Returning,Kurt Ewing,Glow & Go Studio
2023-08-22,Evening,Referral,95.74,23.17,1,Returning,Ryan Hardy,Glow & Go Studio
2023-03-25,Night,Instagram,195.24,70.53,10,New,Micheal Perkins,Glow & Go Studio
2023-09-04,Night,Email,82.16,21.51,1,Returning,Richard Schneider,Glow & Go Studio
2023-04-12,Evening,Referral,127.76,97.48,1,New,John Morrison,Glow & Go Studio
